Column,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Question 11: all data,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
159,10/20/2014 9:48:33,university of glasgow,I conduct research,,,,,"Medicine, dentistry & health",don't know,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"NDIPv4 written by ATOS Origin [belongs to NHS Scotl,]",ndipv4,lecturer,Female,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,,,,,,,
160,10/20/2014 9:49:47,queen mary university of london,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"Minitab, Sigmaplot, Matlab, Microsoft Excel, Endnote, Gimp/Adobe Photoshop ", minitab,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,sigmaplot,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, endnote,,,,,
,,,,,,,,,,,,,,,,, gimp,,,,,
161,10/20/2014 9:50:55,queen's university belfast,I conduct research,,,,,Engineering & technology,european union,More than 20 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,"SPSS, QSR NVivo",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,nvivo,,,,,
162,10/20/2014 9:51:00,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",esrc - economic and social research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","IBM SPSS, AMOS, EQS, LIVECODE",spss,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, amos,,,,,
,,,,,,,,,,,,,,,,, eqs,,,,,
,,,,,,,,,,,,,,,,, livecode,,,,,
163,10/20/2014 10:11:41,university of nottingham,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","python, matlab, R, sage, ...", python,professor,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,r,,,,,
,,,,,,,,,,,,,,,,, sage,,,,,
,,,,,,,,,,,,,,,,,,,,,,
164,10/20/2014 10:13:57,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"ROOT, Mathematica, Matlab, Latex, Comsol, Labview",root,research fellow,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, mathematica,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, latex,,,,,
,,,,,,,,,,,,,,,,, comsol,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
165,10/20/2014 10:19:07,university of sheffield,I conduct research,,,,,Administrative & business studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"SPSS, Amos, NVivo, Excel.",spss,phd student,Male,Prefer not to say,Microsoft Windows,True
,,,,,,,,,,,,,,,,, amos,,,,,
,,,,,,,,,,,,,,,,,nvivo,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
166,10/20/2014 10:30:09,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"SPSS, Volocity, Excel, ImageJ, FLIR Thermal Imaging, ",spss,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, volocity,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, flir thermal imaging,,,,,
,,,,,,,,,,,,,,,,,,,,,,
167,10/20/2014 11:31:15,imperial college london,I conduct research, I manage researchers or research projects,,,,Engineering & technology,industry,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,"No, but we expected to develop software as part of the project","Petrel, Kingdom Suite, IRAP-RMS, Passage, ImageJ, Fraclac, Excel",petrel,reader,Male,Permanent,Microsoft Windows,True
,,,,,,,,,,,,,,,,, kingdom suite,,,,,
,,,,,,,,,,,,,,,,, irap-rms,,,,,
,,,,,,,,,,,,,,,,, passage,,,,,
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, fraclac,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
168,10/20/2014 11:33:48,imperial college london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"R, Self-built models in GAMS Java , Python",r,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,,gams,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
169,10/20/2014 11:40:59,university of liverpool,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,Nvivo,nvivo,lecturer,Female,Permanent,Microsoft Windows,True
171,10/20/2014 11:51:33,university of bristol,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Visual Studio c++,Ghostscript, Ghostview,Excel,Word", visual studio,postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,ghostscript,,,,,
,,,,,,,,,,,,,,,,, ghostview,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,microsoft word,,,,,
172,10/20/2014 11:57:15,university of sheffield,I conduct research,,,,,Administrative & business studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"Mendely, Qualtrics, MPlus, SPSS, ", mendeley,phd student,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, qualtrics,,,,,
,,,,,,,,,,,,,,,,, mplus,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,,,,,,
173,10/20/2014 12:03:23,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,No,Yes,"UK Met Office Unified Model , bespoke processing , analysis scripts , various analysis , visualisation tools, including ferret, MATLAB, panoply, nco, cdo etc.",uk met office unified model ,postdoctoral researcher,Male,Prefer not to say,Don't have a preference,True
,,,,,,,,,,,,,,,,, bespoke processing ,,,,,
,,,,,,,,,,,,,,,,, analysis scripts ,,,,,
,,,,,,,,,,,,,,,,, various analysis ,,,,,
,,,,,,,,,,,,,,,,, visualisation tools,,,,,
,,,,,,,,,,,,,,,,, including ferret,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, panoply,,,,,
,,,,,,,,,,,,,,,,, nco,,,,,
,,,,,,,,,,,,,,,,, cdo etc.,,,,,
174,10/20/2014 12:06:23,university of glasgow,I conduct research,,,,,Social studies,university central funds,15-20 years,No,It would make no significant difference to my work,No,No,No,,,lecturer,Female,Permanent,Microsoft Windows,False
175,10/20/2014 12:07:19,university of glasgow,I conduct research,,,,,Humanities & language based studies & archaeology,european research council,1-5 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,,,Female,Fixed term,Mac OS X,False
176,10/20/2014 12:17:12,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"MATLAB,Origin,MEEP,Labview,Winspec,Microsoft Excel,",matlab,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, origin,,,,,
,,,,,,,,,,,,,,,,, meep,,,,,
,,,,,,,,,,,,,,,,,labview,,,,,
,,,,,,,,,,,,,,,,,winspec,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,,,,,,
177,10/20/2014 12:22:53,imperial college london,I support researchers, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"C++, Python, ROOT, Bash",c++,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,root,,,,,
,,,,,,,,,,,,,,,,, bash,,,,,
178,10/20/2014 12:25:28,imperial college london,I conduct research, I support researchers, I develop software for researchers,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","C#, Visual Studio, Asp.net, Excel, MongoDB, SQLServer",c#,postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,, visual studio,,,,,
,,,,,,,,,,,,,,,,, asp.net,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,, mongodb,,,,,
,,,,,,,,,,,,,,,,, sqlserver,,,,,
180,10/20/2014 12:52:07,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,"Matlab, MPB, MEEP, Fullwave, B,solve",matlab,postdoctoral researcher,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, mpb,,,,,
,,,,,,,,,,,,,,,,, meep,,,,,
,,,,,,,,,,,,,,,,, fullwave,,,,,
,,,,,,,,,,,,,,,,, b,,,,,
,,,,,,,,,,,,,,,,,solve,,,,,
181,10/20/2014 12:59:24,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","RMCprofile, DL_POLY, CASTEP, gnuplot",rmcprofile,lecturer,Male,Permanent,Mac OS X,True
,,,,,,,,,,,,,,,,, dl_poly,,,,,
,,,,,,,,,,,,,,,,, castep,,,,,
,,,,,,,,,,,,,,,,, gnuplot,,,,,
182,10/20/2014 13:01:08,imperial college london,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Firedrake,PyOP2,FEniCS,PETSc,Numpy,",firedrake,research fellow,Male,Permanent,Linux,True
,,,,,,,,,,,,,,,,,pyop2,,,,,
,,,,,,,,,,,,,,,,,fenics,,,,,
,,,,,,,,,,,,,,,,,petsc,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
,,,,,,,,,,,,,,,,,,,,,,
184,10/20/2014 13:01:33,university of leeds,I conduct research,,,,,Humanities & language based studies & archaeology,don't know,Less than a year,No,It would make no significant difference to my work,No,No,No,,,other,Male,Fixed term,Microsoft Windows,False
185,10/20/2014 13:01:47,imperial college london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,industry,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Eclipse, STARS, Mistress", eclipse,professor,Female,Permanent,Other,True
,,,,,,,,,,,,,,,,, stars,,,,,
,,,,,,,,,,,,,,,,, mistress,,,,,
186,10/20/2014 13:04:21,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,Datadesk,datadesk,professor,Male,Permanent,Mac OS X,True
187,10/20/2014 13:06:59,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"R, SPSS, Excel, MATLAB, ArcMap, MestreNova",r,phd student,Male,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,, arcmap,,,,,
,,,,,,,,,,,,,,,,,mestrenova,,,,,
188,10/20/2014 13:11:45,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"ROOT , pyroot, mathematica, own software in C++ , python",root,phd student,Male,Fixed term,Linux,True
,,,,,,,,,,,,,,,,, pyroot,,,,,
,,,,,,,,,,,,,,,,, mathematica,,,,,
,,,,,,,,,,,,,,,,,c++ ,,,,,
,,,,,,,,,,,,,,,,, python,,,,,
189,10/20/2014 13:19:29,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Volocity, Image J, Licor software", volocity,postdoctoral researcher,Female,Fixed term,Mac OS X,True
,,,,,,,,,,,,,,,,, imagej,,,,,
,,,,,,,,,,,,,,,,, licor software,,,,,
190,10/20/2014 13:20:35,university of glasgow,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health","other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Microsoft Office Excel ,Matlab,SPSS,", microsoft excel,other,Female,Fixed term,Microsoft Windows,True
,,,,,,,,,,,,,,,,,matlab,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,,,,,,,
191,10/20/2014 13:26:30,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"Microsoft Access, Microsoft Excel, SPSS, OriginLab", microsoft access,postdoctoral researcher,Female,Fixed term,Don't have a preference,True
,,,,,,,,,,,,,,,,, microsoft excel,,,,,
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, origin,,,,,
192,10/20/2014 13:28:11,university of birmingham,I conduct research,,,,,Education,"other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,No,No,No,"excel, SPSS, MLwIN, Nvivo", microsoft excel,lecturer,Male,Permanent,Don't have a preference,True
,,,,,,,,,,,,,,,,,spss,,,,,
,,,,,,,,,,,,,,,,, mlwin,,,,,
,,,,,,,,,,,,,,,,,nvivo,,,,,
193,10/20/2014 13:31:49,queen mary university of london,I conduct research, I manage researchers or research projects,,,,Humanities & language based studies & archaeology,esrc - economic and social research council,1-5 years,No,It would make no significant difference to my work,No,No,No,,,research fellow,Male,Fixed term,Microsoft Windows,False
194,10/20/2014 13:36:02,queen's university belfast,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,,,,Male,Permanent,Mac OS X,False
